date;system_time;cycle_time;battery_state;voltage[V];current[mA];capacity[mAh]
2025-10-25;02:06:48;0:00:21.398149;charging;4.197;0.18;21
2025-10-25;02:06:48;0:00:21.516945;charging;4.197;0.18;22
2025-10-25;02:06:48;0:00:21.646538;charging;4.197;0.18;22
2025-10-25;02:06:48;0:00:21.766533;charging;4.197;0.18;22
2025-10-25;02:06:48;0:00:21.878028;charging;4.197;0.18;22
2025-10-25;02:06:48;0:00:21.983470;charging;4.197;0.18;22
2025-10-25;02:06:49;0:00:22.089367;charging;4.197;0.18;22
2025-10-25;02:06:49;0:00:22.199696;charging;4.197;0.18;22
2025-10-25;02:06:49;0:00:22.309725;charging;4.197;0.18;22
2025-10-25;02:06:49;0:00:22.412685;charging;4.197;0.18;22
2025-10-25;02:06:49;0:00:22.515200;charging;4.197;0.18;22
2025-10-25;02:06:49;0:00:22.618184;charging;4.197;0.18;23
2025-10-25;02:06:49;0:00:22.720335;charging;4.197;0.18;23
2025-10-25;02:06:49;0:00:22.822940;charging;4.197;0.18;23
2025-10-25;02:06:49;0:00:22.927933;charging;4.197;0.18;23
2025-10-25;02:06:49;0:00:23.036039;charging;4.197;0.18;23
2025-10-25;02:06:50;0:00:23.160567;charging;4.197;0.18;23
2025-10-25;02:06:50;0:00:23.267979;charging;4.202;0.18;23
2025-10-25;02:06:50;0:00:23.371267;charging;4.197;0.18;23
2025-10-25;02:06:50;0:00:23.477023;charging;4.197;0.18;23
2025-10-25;02:06:50;0:00:23.582948;charging;4.197;0.18;23
2025-10-25;02:06:50;0:00:23.702127;charging;4.197;0.18;24
2025-10-25;02:06:50;0:00:23.808393;charging;4.197;0.18;24
2025-10-25;02:06:50;0:00:23.921336;charging;4.197;0.18;24
2025-10-25;02:06:50;0:00:24.052413;charging;4.197;0.18;24
2025-10-25;02:06:51;0:00:24.159060;charging;4.197;0.18;24
2025-10-25;02:06:51;0:00:24.274440;charging;4.197;0.18;24
2025-10-25;02:06:51;0:00:24.379710;charging;4.203;0.18;24
2025-10-25;02:06:51;0:00:24.481712;charging;4.197;0.18;24
2025-10-25;02:06:51;0:00:24.615625;charging;4.197;0.18;24
2025-10-25;02:06:51;0:00:24.723072;charging;4.202;0.18;25
2025-10-25;02:06:51;0:00:24.829253;charging;4.197;0.18;25
2025-10-25;02:06:51;0:00:24.949284;charging;4.197;0.18;25
2025-10-25;02:06:51;0:00:25.052139;charging;4.203;0.18;25
2025-10-25;02:06:52;0:00:25.154152;charging;4.197;0.18;25
2025-10-25;02:06:52;0:00:25.261179;charging;4.197;0.18;25
2025-10-25;02:06:52;0:00:25.382520;charging;4.197;0.18;25
2025-10-25;02:06:52;0:00:25.487598;charging;4.197;0.18;25
2025-10-25;02:06:52;0:00:25.592472;charging;4.197;0.18;25
2025-10-25;02:06:52;0:00:25.704406;charging;4.197;0.18;25
2025-10-25;02:06:52;0:00:25.820941;charging;4.197;0.18;26
2025-10-25;02:06:52;0:00:25.927571;charging;4.197;0.18;26
2025-10-25;02:06:52;0:00:26.029966;charging;4.197;0.18;26
2025-10-25;02:06:53;0:00:26.132904;charging;4.197;0.18;26
2025-10-25;02:06:53;0:00:26.235054;charging;4.197;0.18;26
2025-10-25;02:06:53;0:00:26.336925;charging;4.204;0.18;26
2025-10-25;02:06:53;0:00:26.442637;charging;4.197;0.18;26
2025-10-25;02:06:53;0:00:26.569606;charging;4.197;0.18;26
2025-10-25;02:06:53;0:00:26.673317;charging;4.197;0.18;26
2025-10-25;02:06:53;0:00:26.778976;charging;4.197;0.18;26
2025-10-25;02:06:53;0:00:26.883061;charging;4.197;0.18;27
2025-10-25;02:06:53;0:00:26.985294;charging;4.197;0.18;27
2025-10-25;02:06:54;0:00:27.087823;charging;4.197;0.18;27
2025-10-25;02:06:54;0:00:27.190950;charging;4.197;0.18;27
2025-10-25;02:06:54;0:00:27.294316;charging;4.197;0.18;27
2025-10-25;02:06:54;0:00:27.397289;charging;4.203;0.18;27
2025-10-25;02:06:54;0:00:27.502137;charging;4.197;0.18;27
2025-10-25;02:06:54;0:00:27.607167;charging;4.197;0.18;27
2025-10-25;02:06:54;0:00:27.732113;charging;4.197;0.18;27
2025-10-25;02:06:54;0:00:27.840503;charging;4.203;0.18;28
2025-10-25;02:06:54;0:00:27.946138;charging;4.203;0.18;28
2025-10-25;02:06:54;0:00:28.049723;charging;4.197;0.18;28
2025-10-25;02:06:55;0:00:28.170717;charging;4.197;0.18;28
2025-10-25;02:06:55;0:00:28.278268;charging;4.203;0.18;28
2025-10-25;02:06:55;0:00:28.380943;charging;4.204;0.18;28
2025-10-25;02:06:55;0:00:28.483657;charging;4.197;0.18;28
2025-10-25;02:06:55;0:00:28.586431;charging;4.197;0.18;28
2025-10-25;02:06:55;0:00:28.689148;charging;4.197;0.18;28
2025-10-25;02:06:55;0:00:28.792000;charging;4.197;0.18;28
2025-10-25;02:06:55;0:00:28.894469;charging;4.197;0.18;29
2025-10-25;02:06:55;0:00:28.996530;charging;4.197;0.18;29
2025-10-25;02:06:56;0:00:29.098907;charging;4.197;0.18;29
2025-10-25;02:06:56;0:00:29.200978;charging;4.197;0.18;29
2025-10-25;02:06:56;0:00:29.302958;charging;4.197;0.18;29
2025-10-25;02:06:56;0:00:29.405388;charging;4.202;0.18;29
2025-10-25;02:06:56;0:00:29.507763;charging;4.202;0.18;29
2025-10-25;02:06:56;0:00:29.625225;charging;4.203;0.18;29
2025-10-25;02:06:56;0:00:29.731913;charging;4.202;0.18;29
2025-10-25;02:06:56;0:00:29.834127;charging;4.197;0.18;29
