iCharger106B;Outlet
Time [hh:mm:ss.SSS];Voltage [V];Current [A];Capacity [mAh]
00:11:14.000;4.20;0.40;85
00:11:16.000;4.20;0.40;85
00:11:18.000;4.20;0.40;85
00:11:20.000;4.20;0.40;85
00:11:22.000;4.20;0.40;86
00:11:24.000;4.20;0.40;86
00:11:26.000;4.20;0.40;86
00:11:28.000;4.20;0.40;86
00:11:30.000;4.20;0.40;87
00:11:32.000;4.20;0.40;87
00:11:34.000;4.20;0.40;87
00:11:36.000;4.20;0.40;87
00:11:38.000;4.20;0.40;88
00:11:40.000;4.20;0.40;88
00:11:42.000;4.20;0.40;88
00:11:44.000;4.20;0.40;88
00:11:46.000;4.20;0.40;88
00:11:48.000;4.20;0.40;89
00:11:50.000;4.20;0.40;89
00:11:52.000;4.20;0.40;89
00:11:54.000;4.20;0.40;89
00:11:56.000;4.20;0.40;90
00:11:58.000;4.20;0.40;90
00:12:00.000;4.20;0.40;90
00:12:02.000;4.20;0.40;90
00:12:04.000;4.20;0.40;90
00:12:06.000;4.20;0.40;91
00:12:08.000;4.20;0.40;91
00:12:10.000;4.20;0.40;91
00:12:12.000;4.20;0.40;91
00:12:14.000;4.20;0.40;92
00:12:16.000;4.20;0.40;92
00:12:18.000;4.20;0.40;92
00:12:20.000;4.20;0.39;92
00:12:22.000;4.20;0.40;92
00:12:24.000;4.20;0.40;93
00:12:26.000;4.20;0.39;93
00:12:28.000;4.20;0.39;93
00:12:30.000;4.20;0.40;93
00:12:32.000;4.20;0.40;94
00:12:34.000;4.20;0.40;94
00:12:36.000;4.20;0.39;94
00:12:38.000;4.20;0.40;94
00:12:40.000;4.20;0.40;94
00:12:42.000;4.20;0.40;95
00:12:44.000;4.20;0.39;95
00:12:46.000;4.20;0.39;95
00:12:48.000;4.20;0.39;95
00:12:50.000;4.20;0.39;96
00:12:52.000;4.20;0.39;96
00:12:54.000;4.20;0.39;96
00:12:56.000;4.20;0.39;96
00:12:58.000;4.20;0.39;96
00:13:00.000;4.20;0.40;97
00:13:02.000;4.20;0.39;97
00:13:04.000;4.20;0.39;97
00:13:06.000;4.20;0.39;97
00:13:08.000;4.20;0.39;98
00:13:10.000;4.20;0.40;98
00:13:12.000;4.20;0.39;98
00:13:14.000;4.20;0.39;98
00:13:16.000;4.20;0.39;98
00:13:18.000;4.20;0.39;99
00:13:20.000;4.20;0.39;99
00:13:22.000;4.20;0.39;99
00:13:24.000;4.20;0.39;99
00:13:26.000;4.20;0.39;100
00:13:28.000;4.19;0.39;100
00:13:30.000;4.20;0.39;100
00:13:32.000;4.20;0.39;100
00:13:34.000;4.20;0.39;100
00:13:36.000;4.20;0.39;101
00:13:38.000;4.20;0.39;101
00:13:40.000;4.20;0.39;101
00:13:42.000;4.20;0.39;101
00:13:44.000;4.20;0.39;102
00:13:46.000;4.20;0.39;102
00:13:48.000;4.20;0.39;102
00:13:50.000;4.20;0.39;102
00:13:52.000;4.20;0.39;103
00:13:54.000;4.20;0.39;103
00:13:56.000;4.20;0.39;103
00:13:58.000;4.20;0.39;103
00:14:00.000;4.20;0.39;103
00:14:02.000;4.20;0.39;103
00:14:04.000;4.20;0.39;104
00:14:06.000;4.20;0.39;104
