date;system_time;cycle_time;battery_state;voltage[V];current[mA];capacity[mAh]
2025-10-25; 02:00:37;0:00:11.544675;charging;4.197;0.19;12
2025-10-25; 02:00:37;0:00:11.647380;charging;4.197;0.19;12
2025-10-25; 02:00:37;0:00:11.750895;charging;4.197;0.19;12
2025-10-25; 02:00:37;0:00:11.880907;charging;4.197;0.19;12
2025-10-25; 02:00:38;0:00:11.990395;charging;4.197;0.19;12
2025-10-25; 02:00:38;0:00:12.113969;charging;4.197;0.19;12
2025-10-25; 02:00:38;0:00:12.222458;charging;4.197;0.19;13
2025-10-25; 02:00:38;0:00:12.327159;charging;4.197;0.19;13
2025-10-25; 02:00:38;0:00:12.430162;charging;4.197;0.19;13
2025-10-25; 02:00:38;0:00:12.533786;charging;4.197;0.19;13
2025-10-25; 02:00:38;0:00:12.636943;charging;4.197;0.19;13
2025-10-25; 02:00:38;0:00:12.741122;charging;4.197;0.19;13
2025-10-25; 02:00:38;0:00:12.871505;charging;4.197;0.19;13
2025-10-25; 02:00:39;0:00:12.979780;charging;4.197;0.19;13
2025-10-25; 02:00:39;0:00:13.083093;charging;4.197;0.19;13
2025-10-25; 02:00:39;0:00:13.186662;charging;4.197;0.19;13
2025-10-25; 02:00:39;0:00:13.291547;charging;4.197;0.19;14
2025-10-25; 02:00:39;0:00:13.398955;charging;4.197;0.19;14
2025-10-25; 02:00:39;0:00:13.507803;charging;4.197;0.19;14
2025-10-25; 02:00:39;0:00:13.610065;charging;4.197;0.19;14
2025-10-25; 02:00:39;0:00:13.713366;charging;4.197;0.19;14
2025-10-25; 02:00:39;0:00:13.817613;charging;4.197;0.19;14
2025-10-25; 02:00:39;0:00:13.924399;charging;4.197;0.19;14
2025-10-25; 02:00:40;0:00:14.028363;charging;4.197;0.19;14
2025-10-25; 02:00:40;0:00:14.131370;charging;4.197;0.19;14
2025-10-25; 02:00:40;0:00:14.254360;charging;4.197;0.19;15
2025-10-25; 02:00:40;0:00:14.397952;charging;4.197;0.19;15
2025-10-25; 02:00:40;0:00:14.500817;charging;4.197;0.19;15
2025-10-25; 02:00:40;0:00:14.611807;charging;4.197;0.19;15
2025-10-25; 02:00:40;0:00:14.715622;charging;4.197;0.19;15
2025-10-25; 02:00:40;0:00:14.826974;charging;4.197;0.19;15
2025-10-25; 02:00:40;0:00:14.935227;charging;4.197;0.19;15
2025-10-25; 02:00:41;0:00:15.043669;charging;4.197;0.19;15
2025-10-25; 02:00:41;0:00:15.150125;charging;4.197;0.19;15
2025-10-25; 02:00:41;0:00:15.255863;charging;4.197;0.19;16
2025-10-25; 02:00:41;0:00:15.360058;charging;4.197;0.19;16
2025-10-25; 02:00:41;0:00:15.463658;charging;4.197;0.19;16
2025-10-25; 02:00:41;0:00:15.572820;charging;4.197;0.19;16
2025-10-25; 02:00:41;0:00:15.677733;charging;4.197;0.19;16
2025-10-25; 02:00:41;0:00:15.780994;charging;4.197;0.19;16
2025-10-25; 02:00:41;0:00:15.886928;charging;4.197;0.19;16
2025-10-25; 02:00:42;0:00:15.996516;charging;4.197;0.19;16
2025-10-25; 02:00:42;0:00:16.100714;charging;4.197;0.19;16
2025-10-25; 02:00:42;0:00:16.205460;charging;4.197;0.19;16
2025-10-25; 02:00:42;0:00:16.310304;charging;4.197;0.19;17
2025-10-25; 02:00:42;0:00:16.423493;charging;4.197;0.19;17
2025-10-25; 02:00:42;0:00:16.532908;charging;4.197;0.19;17
2025-10-25; 02:00:42;0:00:16.635667;charging;4.197;0.19;17
2025-10-25; 02:00:42;0:00:16.743762;charging;4.197;0.18;17
2025-10-25; 02:00:42;0:00:16.847408;charging;4.197;0.19;17
2025-10-25; 02:00:43;0:00:16.952117;charging;4.197;0.19;17
2025-10-25; 02:00:43;0:00:17.059380;charging;4.197;0.18;17
2025-10-25; 02:00:43;0:00:17.170664;charging;4.197;0.18;17
2025-10-25; 02:00:43;0:00:17.274473;charging;4.197;0.18;18
2025-10-25; 02:00:43;0:00:17.379496;charging;4.197;0.18;18
2025-10-25; 02:00:43;0:00:17.497239;charging;4.197;0.18;18
2025-10-25; 02:00:43;0:00:17.601993;charging;4.197;0.18;18
2025-10-25; 02:00:43;0:00:17.706560;charging;4.197;0.18;18
2025-10-25; 02:00:43;0:00:17.812859;charging;4.197;0.18;18
2025-10-25; 02:00:43;0:00:17.916018;charging;4.197;0.18;18
2025-10-25; 02:00:44;0:00:18.023979;charging;4.197;0.18;18
2025-10-25; 02:00:44;0:00:18.132820;charging;4.197;0.18;18
2025-10-25; 02:00:44;0:00:18.236513;charging;4.197;0.18;18
2025-10-25; 02:00:44;0:00:18.340807;charging;4.197;0.18;19
2025-10-25; 02:00:44;0:00:18.446261;charging;4.197;0.18;19
2025-10-25; 02:00:44;0:00:18.554400;charging;4.197;0.18;19
2025-10-25; 02:00:44;0:00:18.659148;charging;4.197;0.18;19
2025-10-25; 02:00:44;0:00:18.763405;charging;4.197;0.18;19
